"writerNameLabel","birthPlaceLabel","nationalityLabel","deathPlaceLabel"
"Miodrag Bulatović","Okladi","Montenegrins (ethnic group)","Socialist Federal Republic of Yugoslavia"
"Miodrag Bulatović","Okladi","Montenegrins (ethnic group)","Socialist Republic of Montenegro"
"Sida Košutić","Radoboj","Croat","Socialist Federal Republic of Yugoslavia"
"Sida Košutić","Radoboj","Croat","Socialist Republic of Croatia"
"Tudor Arghezi","United Principalities of Moldavia and Wallachia","Romanians","Socialist Republic of Romania"
"Tin Ujević","Austria-Hungary","Croats","Socialist Republic of Croatia"
"Tin Ujević","Austria-Hungary","Croats","Socialist Federal Republic of Yugoslavia"
"Tudor Arghezi","Bucharest","Romanians","Socialist Republic of Romania"
"Tin Ujević","Vrgorac","Croats","Socialist Republic of Croatia"
"Tin Ujević","Vrgorac","Croats","Socialist Federal Republic of Yugoslavia"
"György Harag","Marghita","Hungarians in Romania","Socialist Republic of Romania"
"Tin Ujević","Kingdom of Dalmatia","Croats","Socialist Republic of Croatia"
"Tin Ujević","Kingdom of Dalmatia","Croats","Socialist Federal Republic of Yugoslavia"
"György Harag","Kingdom of Romania","Hungarians in Romania","Socialist Republic of Romania"
"Mihail Sadoveanu","Pașcani","Romanians","Socialist Republic of Romania"
"Meša Selimović","Austria-Hungary","Yugoslavia","Socialist Federal Republic of Yugoslavia"
"Meša Selimović","Austria-Hungary","Yugoslavia","Socialist Republic of Serbia"
"Meša Selimović","Austro-Hungarian rule in Bosnia and Herzegovina","Yugoslavia","Socialist Federal Republic of Yugoslavia"
"Meša Selimović","Austro-Hungarian rule in Bosnia and Herzegovina","Yugoslavia","Socialist Republic of Serbia"
"Hadrawi","British Somaliland","Somalilander","Somalia"
"Hadrawi","Burao","Somalilander","Somalia"
"Hadrawi","Togdheer","Somalilander","Somalia"
"Meša Selimović","Tuzla","Yugoslavia","Socialist Federal Republic of Yugoslavia"
"Meša Selimović","Tuzla","Yugoslavia","Socialist Republic of Serbia"
"Mihail Sadoveanu","Iași County","Romanians","Socialist Republic of Romania"
"Mihail Sadoveanu","Kingdom of Romania","Romanians","Socialist Republic of Romania"
"Valentin Bulgakov","Penza Oblast","Russians","Soviet Union"
"Petro Panch","Valky","Ukraine","Soviet Union"
"Pavel Antokolsky","Russian Empire","Russians","Soviet Union"
"Valentin Bulgakov","Russian Empire","Russians","Soviet Union"
"Hovhannes Tumanyan","Russian Empire","Armenians","Soviet Union"
"Petro Panch","Russian Empire","Ukraine","Soviet Union"
"Pavel Antokolsky","Saint Petersburg","Russians","Soviet Union"
"Hrachya Kochar","Erzurum vilayet","Armenians","Soviet Union"
"Hovhannes Tumanyan","Lori Province","Armenians","Soviet Union"
"Petro Panch","Kharkov Governorate","Ukraine","Soviet Union"
"Hovhannes Tumanyan","Tiflis Governorate","Armenians","Soviet Union"
"Hovhannes Tumanyan","Dsegh","Armenians","Soviet Union"
"Hrachya Kochar","Ottoman Empire","Armenians","Soviet Union"
"Hovhannes Tumanyan","Armenia","Armenians","Soviet Union"
"Hryhoriy Tiutiunnyk","Poltava Governorate","Ukraine","Soviet Union"
"Valentin Bulgakov","Kuznetsk","Russians","Soviet Union"
"Hryhoriy Tiutiunnyk","Ukrainian SSR","Ukraine","Soviet Union"
"Vasily Grossman","Berdychiv","Soviet Union","Soviet Union"
"Volodymyr Sosiura","Debaltseve","Ukraine","Soviet Union"
"Volodymyr Sosiura","Russian Empire","Ukraine","Soviet Union"
"Vasily Grossman","Russian Empire","Soviet Union","Soviet Union"
"Vasyl Kasiyan","Austria-Hungary","Ukraine","Soviet Union"
"Volodymyr Sosiura","Yekaterinoslav Governorate","Ukraine","Soviet Union"
"Vasily Grossman","Kiev Governorate","Soviet Union","Soviet Union"
"Vasyl Kasiyan","Kingdom of Galicia and Lodomeria","Ukraine","Soviet Union"
"Derenik Demirchian","Russian Empire","Armenians","Soviet Union"
"Derenik Demirchian","Akhalkalaki","Armenians","Soviet Union"
"Andrei Platonov","Voronezh","Russians","Soviet Union"
"Andriy Malyshko","Russian Empire","Ukraine","Soviet Union"
"Andrei Platonov","Russian Empire","Russians","Soviet Union"
"Andriy Malyshko","Kiev Governorate","Ukraine","Soviet Union"
"Andriy Malyshko","Obukhiv","Ukraine","Soviet Union"
"Andrei Platonov","Voronezh Governorate","Russians","Soviet Union"
"Kim Iryeop","Ryonggang County","Korean Empire","South Korea"
"Kim Iryeop","Ryonggang County","South Korea","South Korea"
"Kim Iryeop","Korean Empire","Korean Empire","South Korea"
"Kim Iryeop","Korean Empire","South Korea","South Korea"
"Les Kurbas","Sambir","Ukrainians","Soviet Union"
"Arcady Aris","Russian Empire","Chuvash people","Soviet Union"
"Les Kurbas","Austria-Hungary","Ukrainians","Soviet Union"
"Arcady Aris","Kazan Governorate","Chuvash people","Soviet Union"
"Les Kurbas","Kingdom of Galicia and Lodomeria","Ukrainians","Soviet Union"
"Arcady Aris","Siner, Chuvash Republic","Chuvash people","Soviet Union"
"Arcady Aris","Yadrinsky Uyezd","Chuvash people","Soviet Union"
"Bruno Jasieński","Congress Poland","Poland","Soviet Union"
"Hovhannes Shiraz","Russian Empire","Armenians","Soviet Union"
"Galaktion Tabidze","Russian Empire","Georgians","Soviet Union"
"Galaktion Tabidze","Chkvishi","Georgians","Soviet Union"
"Bruno Jasieński","Klimontów, Sandomierz County","Poland","Soviet Union"
"Galaktion Tabidze","Kutais Governorate","Georgians","Soviet Union"
"Hovhannes Shiraz","Alexandropol","Armenians","Soviet Union"
"Aleksandrs Grīns","Kalna parish","Latvian people","Soviet Union"
"Aleksandrs Grīns","Russian Empire","Latvian people","Soviet Union"
"Aleksandrs Grīns","Courland Governorate","Latvian people","Soviet Union"
"Paolo Iashvili","Russian Empire","Georgians","Soviet Union"
"Paruyr Sevak","Zangakatun","Armenians","Soviet Union"
"Paruyr Sevak","Soviet Union","Armenians","Soviet Union"
"Paolo Iashvili","Imereti","Georgians","Soviet Union"
"Paolo Iashvili","Kutais Governorate","Georgians","Soviet Union"
"Paruyr Sevak","Transcaucasian SFSR","Armenians","Soviet Union"
"Paruyr Sevak","Armenian SSR","Armenians","Soviet Union"
"Dmitri Kedrin","Russian Empire","Russians","Soviet Union"
"Terenti Graneli","Georgian Soviet Socialist Republic","Georgians","Soviet Union"
"Terenti Graneli","Tsalenjikha","Georgians","Soviet Union"
"Terenti Graneli","Soviet Union","Georgians","Soviet Union"
"Carlos Gómez Álava","Hagonoy, Bulacan","Philippines","Spain"
"Carlos Gómez Álava","Hagonoy, Bulacan","Spain","Spain"
"Gilbert Luis R. Centina III","La Carlota, Negros Occidental","United States","Spain"
"Gilbert Luis R. Centina III","Philippines","United States","Spain"
"Andrei Amalrik","Moscow","USSR","Spain"
"Francisco González Ledesma","Catalunya","Spain","Spain"
"Hryhorii Epik","Ukraine","Ukrainians","Soviet Union"
"Hryhorii Epik","Russian Empire","Ukrainians","Soviet Union"
"Francisco González Ledesma","Barcelona","Spain","Spain"
"Francisco González Ledesma","Spain","Spain","Spain"
"Mikhail Sholokhov","Don Host Oblast","Soviet Union","Soviet Union"
"Konstantine Gamsakhurdia","Russian Empire","Georgians","Soviet Union"
"Mikhail Sokolov","Russian Empire","Russians","Soviet Union"
"Nar-Dos","Russian Empire","Armenians","Soviet Union"
"Mikheil Javakhishvili","Russian Empire","Georgians","Soviet Union"
"Mikhail Sholokhov","Russian Empire","Soviet Union","Soviet Union"
"Nar-Dos","Tiflis","Armenians","Soviet Union"
"Nar-Dos","Tiflis Governorate","Armenians","Soviet Union"
"Mikheil Javakhishvili","Tiflis Governorate","Georgians","Soviet Union"
"Konstantine Gamsakhurdia","Abasha","Georgians","Soviet Union"
"Konstantine Gamsakhurdia","Kutais Governorate","Georgians","Soviet Union"
"Mikhail Sokolov","Yaroslavl","Russians","Soviet Union"
"Mikhail Sholokhov","Vyoshenskaya","Soviet Union","Soviet Union"
"Artemisia Gentileschi","Rome","Italians","Spain"
"Joan Alcover","Palma de Mallorca","Spain","Spain"
"Artemisia Gentileschi","Papal States","Italians","Spain"
"Joan Alcover","Spain","Spain","Spain"
"Manuel Scorza","Peru","Peruvian","Spain"
"Dolores Claman","Vancouver","Canadians","Spain"
"Manuel Scorza","Lima","Peruvian","Spain"
"Dolores Claman","British Columbia","Canadians","Spain"
"Maria Mercè Marçal","Ivars d'Urgell","Spain","Spain"
"Maria Mercè Marçal","Spain","Spain","Spain"
"Josip Vandot","Carniola","Slovenes","Independent State of Croatia"
"Bismil Azimabadi","Bengal Presidency","Indian people","India"
"Bismil Azimabadi","Patna","Indian people","India"
"Premendra Mitra","United Provinces of Agra and Oudh","Indian people","India"
"Premendra Mitra","Uttar Pradesh","Indian people","India"
"Premendra Mitra","Varanasi","Indian people","India"
"Ulric Jones","Freetown","British nationality law","Freetown, Sierra Leone"
"Constance Cummings-John","Freetown","British nationality law","Freetown, Sierra Leone"
"John Rosolu Bankole Thompson","Freetown","Sierra Leonean","Freetown, Sierra Leone"
"Ulric Jones","Freetown","Sierra Leonean","Freetown, Sierra Leone"
"Constance Cummings-John","Freetown","Sierra Leonean","Freetown, Sierra Leone"
"John Rosolu Bankole Thompson","Freetown","British nationality law","Freetown, Sierra Leone"
"John Rosolu Bankole Thompson","Sierra Leone Colony and Protectorate","British nationality law","Freetown, Sierra Leone"
"John Rosolu Bankole Thompson","Sierra Leone Colony and Protectorate","Sierra Leonean","Freetown, Sierra Leone"
"Josip Vandot","Austria-Hungary","Slovenes","Independent State of Croatia"
"Premendra Mitra","British India","Indian people","India"
"Bismil Azimabadi","British India","Indian people","India"
"Joseph Vadakkan","British India","India","India"
"Joseph Vadakkan","Thrissur","India","India"
"Premendra Mitra","India","Indian people","India"
"Josip Vandot","Kranjska Gora","Slovenes","Independent State of Croatia"
"Gokulchandra Nag","Bengal Presidency","Indian people","India"
"Gokulchandra Nag","Howrah","Indian people","India"
"Gokulchandra Nag","Howrah district","Indian people","India"
"George Bernard Frazer","Freetown","British nationality law","Freetown, Sierra Leone"
"George Bernard Frazer","Freetown","Sierra Leonean","Freetown, Sierra Leone"
"George Gelaga King","Zaire","British nationality law","Freetown, Sierra Leone"
"George Gelaga King","Zaire","Sierra Leonean","Freetown, Sierra Leone"
"Gokulchandra Nag","British India","Indian people","India"
"Annada Shankar Ray","British India","India","India"
"Nanak Singh","British Raj","Indian people","India"
"Gokulchandra Nag","West Bengal","Indian people","India"
"Nanak Singh","Jhelum district","Indian people","India"
"Annada Shankar Ray","Dhenkanal State","India","India"
"Gokulchandra Nag","India","Indian people","India"
"Annada Shankar Ray","India","India","India"
"Annada Shankar Ray","Odisha","India","India"
"Gokulchandra Nag","Shibpur","Indian people","India"
"Nanak Singh","British Punjab","Indian people","India"
"Lati Hyde-Forster","Freetown","British nationality law","Freetown, Sierra Leone"
"Arthur Osman Farquhar Stuart","Freetown","Sierra Leonean","Freetown, Sierra Leone"
"Lati Hyde-Forster","Freetown","Sierra Leonean","Freetown, Sierra Leone"
"Florence Dillsworth","Freetown","British nationality law","Freetown, Sierra Leone"
"Florence Dillsworth","Freetown","Sierra Leonean","Freetown, Sierra Leone"
"Arthur Osman Farquhar Stuart","Freetown","British nationality law","Freetown, Sierra Leone"
"Lati Hyde-Forster","Sierra Leone Colony and Protectorate","Sierra Leonean","Freetown, Sierra Leone"
"Lati Hyde-Forster","Sierra Leone Colony and Protectorate","British nationality law","Freetown, Sierra Leone"
"William Farquhar Conton","Banjul","British nationality law","Freetown, Sierra Leone"
"William Farquhar Conton","Banjul","Sierra Leonean","Freetown, Sierra Leone"
"Albert Whiggs Easmon","Freetown, Sierra Leone","British nationality law","Freetown, Sierra Leone"
"Dipendranath Bandyopadhyay","Bengal Presidency","British Indian","India"
"Jethmal Parsram Gulrajani","Bombay Presidency","British India","India"
"Jethmal Parsram Gulrajani","Hyderabad, Sindh","British India","India"
"Dipendranath Bandyopadhyay","British India","British Indian","India"
"Jethmal Parsram Gulrajani","British Raj","British India","India"
"Dipendranath Bandyopadhyay","Dhaka","British Indian","India"
"Rafiq Husain","United Provinces of Agra and Oudh","India","India"
"Rafiq Husain","British India","India","India"
"Rafiq Husain","Allahabad","India","India"
"Chairil Anwar","Medan","Indonesia","Indonesia"
"Chairil Anwar","Dutch East Indies","Indonesia","Indonesia"
"Pramoedya Ananta Toer","Dutch East Indies","Indonesia","Indonesia"
"Nils Johan Ringdal","Norway","Norway","Indonesia"
"Pramoedya Ananta Toer","Blora","Indonesia","Indonesia"
"Antun Gustav Matoš","Austria-Hungary","Croats","Kingdom of Croatia-Slavonia"
"Antun Gustav Matoš","Tovarnik","Croats","Kingdom of Croatia-Slavonia"
"Antun Gustav Matoš","Kingdom of Croatia-Slavonia","Croats","Kingdom of Croatia-Slavonia"
"Joseph Görres","Electorate of Trier","Germans","Kingdom of Bavaria"
"Joseph Görres","Koblenz","Germans","Kingdom of Bavaria"
"Giorgos Seferis","Urla, İzmir","Greece","Kingdom of Greece"
"Giorgos Seferis","Ottoman Empire","Greece","Kingdom of Greece"
"Alexandros Rizos Rangavis","Constantinople","Greece","Kingdom of Greece"
"Václav Bolemír Nebeský","Austrian Empire","Czechs","Kingdom of Bohemia"
"Alexandros Rizos Rangavis","Ottoman Empire","Greece","Kingdom of Greece"
"Václav Bolemír Nebeský","Kingdom of Bohemia","Czechs","Kingdom of Bohemia"
"Václav Bolemír Nebeský","Kokořín","Czechs","Kingdom of Bohemia"
"Gregorios Xenopoulos","Constantinople","Greeks","Kingdom of Greece"
"Nikola Vaptsarov","Bansko","Kingdom of Bulgaria","Kingdom of Bulgaria"
"Nikola Vaptsarov","Ottoman Empire","Kingdom of Bulgaria","Kingdom of Bulgaria"
"Gregorios Xenopoulos","Ottoman Empire","Greeks","Kingdom of Greece"
"Maria Konopnicka","Congress Poland","Poles","Kingdom of Galicia and Lodomeria"
"Maria Konopnicka","Russian Empire","Poles","Kingdom of Galicia and Lodomeria"
"Maria Konopnicka","Augustów Governorate","Poles","Kingdom of Galicia and Lodomeria"
"Maria Konopnicka","Suwałki","Poles","Kingdom of Galicia and Lodomeria"
"Markiyan Shashkevych","Pidlyssia","Ukrainians","Kingdom of Galicia and Lodomeria"
"Markiyan Shashkevych","Kingdom of Galicia and Lodomeria","Ukrainians","Kingdom of Galicia and Lodomeria"
"Camillo Boito","Rome","Italy","Kingdom of Italy"
"Sayat-Nova","Safavid Iran","Armenians","Kingdom of Kartli-Kakheti"
"Antonio Minturno","Minturno","Naples","Kingdom of Naples"
"Sayat-Nova","Tbilisi","Armenians","Kingdom of Kartli-Kakheti"
"Sayat-Nova","Kingdom of Kartli","Armenians","Kingdom of Kartli-Kakheti"
"Antonio Minturno","Kingdom of Naples","Naples","Kingdom of Naples"
"Giambattista Marino","Kingdom of Naples","Naples","Kingdom of Naples"
"Giovanni Battista Manso","Kingdom of Naples","Naples","Kingdom of Naples"
"Giambattista Marino","Naples","Naples","Kingdom of Naples"
"Giovanni Battista Manso","Naples","Naples","Kingdom of Naples"
"Giuseppe Battista","Grottaglie","Naples","Kingdom of Naples"
"Giuseppe Battista","Kingdom of Naples","Naples","Kingdom of Naples"
"Alfredo Oriani","Faenza","Italy","Kingdom of Italy"
"Alfredo Oriani","Kingdom of Italy","Italy","Kingdom of Italy"
"Stevan Aleksić","Arad, Romania","Serbs","Kingdom of Romania"
"Stevan Aleksić","Austria-Hungary","Serbs","Kingdom of Romania"
"Liviu Rebreanu","Austria-Hungary","Romanians","Kingdom of Romania"
"Liviu Rebreanu","Târlișua","Romanians","Kingdom of Romania"
"Liviu Rebreanu","Szolnok-Doboka County","Romanians","Kingdom of Romania"
"Hermann Schievelbein","Berlin","Kingdom of Prussia","Kingdom of Prussia"
"Hermann Schievelbein","Kingdom of Prussia","Kingdom of Prussia","Kingdom of Prussia"
"Ioan Slavici","Romania","Romanians","Kingdom of Romania"
"Pier Alessandro Paravia","Republic of Venice","Italy","Kingdom of Sardinia"
"Pier Alessandro Paravia","Croatia","Italy","Kingdom of Sardinia"
"Ioan Slavici","Arad County","Romanians","Kingdom of Romania"
"Pier Alessandro Paravia","Zadar","Italy","Kingdom of Sardinia"
"Ioan Slavici","Șiria","Romanians","Kingdom of Romania"
"Ion Pillat","Bucharest","Romanians","Kingdom of Romania"
"Ioan Slavici","Kingdom of Hungary (1526-1867)","Romanians","Kingdom of Romania"
"Ion Pillat","Kingdom of Romania","Romanians","Kingdom of Romania"
"Branislav Nušić","Principality of Serbia","Kingdom of Yugoslavia","Kingdom of Yugoslavia"
"Branislav Nušić","Principality of Serbia","Kingdom of Serbia","Kingdom of Yugoslavia"
"Branislav Nušić","Belgrade","Kingdom of Yugoslavia","Kingdom of Yugoslavia"
"Branislav Nušić","Belgrade","Kingdom of Serbia","Kingdom of Yugoslavia"
"Safvet-beg Bašagić","Bosnia Vilayet","Bosniak","Kingdom of Yugoslavia"
"Elisa von der Recke","Skaistkalne","Baltic German","Kingdom of Saxony"
"Elisa von der Recke","Duchy of Courland and Semigallia","Baltic German","Kingdom of Saxony"
"Safvet-beg Bašagić","Ottoman Empire","Bosniak","Kingdom of Yugoslavia"
"Safvet-beg Bašagić","Nevesinje","Bosniak","Kingdom of Yugoslavia"
"Stevan Sremac","Voivodeship of Serbia and Banat of Temeschwar","Serbs","Kingdom of Serbia"
"Tommaso Aversa","Mistretta","Italy","Kingdom of Sicily"
"Dragutin Domjanić","Austria-Hungary","Croat","Kingdom of Yugoslavia"
"Stevan Sremac","Austrian Empire","Serbs","Kingdom of Serbia"
"Dragutin Domjanić","Adamovec","Croat","Kingdom of Yugoslavia"
"Tommaso Aversa","Kingdom of Sicily","Italy","Kingdom of Sicily"
"Stevan Sremac","Senta","Serbs","Kingdom of Serbia"
"Dragutin Domjanić","Croatia-Slavonia","Croat","Kingdom of Yugoslavia"
"Mariano Valguarnera","Palermo","Italy","Kingdom of Sicily"
"Mariano Valguarnera","Kingdom of Sicily","Italy","Kingdom of Sicily"
"Milan Milićević","Principality of Serbia","Serbs","Kingdom of Serbia"
"Radoje Domanović","Principality of Serbia","Serbs","Kingdom of Serbia"
"Milan Milićević","Ripanj","Serbs","Kingdom of Serbia"
"Radoje Domanović","Ovsište","Serbs","Kingdom of Serbia"
"Mark Krasniqi","Peć","Albanians","Kosovo"
"Arcady Aris","Russian Empire","Chuvash people","Krasnoyarsk Krai"
"Simon Dach","Duchy of Prussia","Germany","Königsberg"
"Arcady Aris","Kazan Governorate","Chuvash people","Krasnoyarsk Krai"
"Simon Dach","Klaipėda","Germany","Königsberg"
"Arcady Aris","Siner, Chuvash Republic","Chuvash people","Krasnoyarsk Krai"
"Arcady Aris","Yadrinsky Uyezd","Chuvash people","Krasnoyarsk Krai"
"Caridad Bravo Adams","Villahermosa","Mexico","Mexico"
"Caridad Bravo Adams","Tabasco","Mexico","Mexico"
"Caridad Bravo Adams","Mexico","Mexico","Mexico"
"Salvador Díaz Mirón","Veracruz","Mexico","Mexico"
"Salvador Díaz Mirón","Mexico","Mexico","Mexico"
"Musa Cälil","Russian Empire","Soviet Union","Nazi Germany"
"Musa Cälil","Orenburg Governorate","Soviet Union","Nazi Germany"
"Tone Čufar","Slovenia","Slovenes","Nazi Germany"
"Tone Čufar","Austria-Hungary","Slovenes","Nazi Germany"
"Luis Carrión Beltrán","Mexico","Mexico","Mexico"
"Luis Carrión Beltrán","Mexico City","Mexico","Mexico"
"Tone Čufar","Jesenice, Jesenice","Slovenes","Nazi Germany"
"Walter Küchenmeister","Saxony","Germany","Nazi Germany"
"Walter Küchenmeister","Waldheim, Saxony","Germany","Nazi Germany"
"Manuel Puig","General Villegas","Argentines","Mexico"
"Jake MacDonald","Winnipeg","Canadians","Mexico"
"Manuel Puig","Argentina","Argentines","Mexico"
"Margaret Larkin","Las Vegas, New Mexico","United States","Mexico"
"Jake MacDonald","Manitoba","Canadians","Mexico"
"Margaret Larkin","New Mexico","United States","Mexico"
"Paatje Phefferkorn","Bandung","Netherlands","Netherlands"
"Paatje Phefferkorn","Dutch East Indies","Netherlands","Netherlands"
"Zaruhi Kalemkaryan","Constantinople","Armenian Americans","New York State"
"Zaruhi Kalemkaryan","Ottoman Empire","Armenian Americans","New York State"
"Piet Cleij","Groningen","Netherlands","Netherlands"
"Piet Cleij","Netherlands","Netherlands","Netherlands"
"Enrique Gottel","Free City of Danzig","Germany","Nicaragua"
"Enrique Gottel","Free City of Danzig","Nicaraguan","Nicaragua"
"Enrique Gottel","Germany","Germany","Nicaragua"
"Enrique Gottel","Germany","Nicaraguan","Nicaragua"
"Aasmund Olavsson Vinje","Vinje","Norway","Oppland"
"Aasmund Olavsson Vinje","Norway","Norway","Oppland"
"Aasmund Olavsson Vinje","Telemark","Norway","Oppland"
"Arcady Aris","Russian Empire","Chuvash people","RSFSR"
"Bohdan Ihor Antonych","Austria-Hungary","Ukrainians","Second Polish Republic"
"Bohdan Ihor Antonych","Nowica, Lesser Poland Voivodeship","Ukrainians","Second Polish Republic"
"Arcady Aris","Kazan Governorate","Chuvash people","RSFSR"
"Bohdan Ihor Antonych","Kingdom of Galicia and Lodomeria","Ukrainians","Second Polish Republic"
"Arcady Aris","Siner, Chuvash Republic","Chuvash people","RSFSR"
"Arcady Aris","Yadrinsky Uyezd","Chuvash people","RSFSR"
"Karel Čapek","Malé Svatoňovice","Czech people","Second Czechoslovak Republic"
"Karel Čapek","Austria-Hungary","Czech people","Second Czechoslovak Republic"
"Maria Polydouri","Kalamata","Greece","Second Hellenic Republic"
"Maria Polydouri","Kingdom of Greece","Greece","Second Hellenic Republic"
"Mirjana Stefanović","Niš","Serbian citizenship","Serbia"
"Mirjana Stefanović","Kingdom of Yugoslavia","Serbian citizenship","Serbia"
"Dušan Vasiljev","Austria-Hungary","Kingdom of Yugoslavia","Kingdom of Serbs, Croats and Slovenes"
"Dušan Vasiljev","Velika Kikinda","Kingdom of Yugoslavia","Kingdom of Serbs, Croats and Slovenes"
"Mihály Babits","Austria-Hungary","Hungary","Kingdom of Hungary (1920–46)"
"Mihály Babits","Szekszárd","Hungary","Kingdom of Hungary (1920–46)"
"Akbar Allahabadi","Company rule in India","British Raj","United Provinces of British India"
"Akbar Allahabadi","Bara, Allahabad","British Raj","United Provinces of British India"
"Akbar Allahabadi","North-Western Provinces","British Raj","United Provinces of British India"
"Lu Xun","Qing Empire","Republic of China","Republic of China (1912–49)"
"Lu Xun","Zhejiang","Republic of China","Republic of China (1912–49)"
"Lu Xun","Shaoxing","Republic of China","Republic of China (1912–49)"
"Levko Revutsky","Pryluky Raion","Ukrainians","Ukrainian SSR"
"Levko Revutsky","Priluksky Uyezd","Ukrainians","Ukrainian SSR"
"Volodymyr Sosiura","Debaltseve","Ukraine","Ukrainian SSR"
"Viktor Petrov","Ukraine","Ukrainians","Ukrainian SSR"
"Petro Panch","Valky","Ukraine","Ukrainian SSR"
"Leonid Corneanu","Russian Empire","Moldovans","Moldavian SSR"
"Volodymyr Sosiura","Russian Empire","Ukraine","Ukrainian SSR"
"Levko Revutsky","Russian Empire","Ukrainians","Ukrainian SSR"
"Mykhailo Stelmakh","Russian Empire","Ukrainians","Ukrainian SSR"
"Petro Panch","Russian Empire","Ukraine","Ukrainian SSR"
"Andriy Malyshko","Russian Empire","Ukraine","Ukrainian SSR"
"Viktor Petrov","Russian Empire","Ukrainians","Ukrainian SSR"
"Leonid Corneanu","Tiraspolsky Uyezd","Moldovans","Moldavian SSR"
"Petro Panch","Kharkov Governorate","Ukraine","Ukrainian SSR"
"Leonid Corneanu","Kherson Governorate","Moldovans","Moldavian SSR"
"Vasyl Kasiyan","Austria-Hungary","Ukraine","Ukrainian SSR"
"Leonid Corneanu","Coşniţa","Moldovans","Moldavian SSR"
"Volodymyr Sosiura","Yekaterinoslav Governorate","Ukraine","Ukrainian SSR"
"Andriy Malyshko","Kiev Governorate","Ukraine","Ukrainian SSR"
"Levko Revutsky","Poltava Governorate","Ukrainians","Ukrainian SSR"
"Hryhoriy Tiutiunnyk","Poltava Governorate","Ukraine","Ukrainian SSR"
"Vasyl Kasiyan","Kingdom of Galicia and Lodomeria","Ukraine","Ukrainian SSR"
"Andriy Malyshko","Obukhiv","Ukraine","Ukrainian SSR"
"Viktor Petrov","Yekaterinoslav","Ukrainians","Ukrainian SSR"
"Hryhoriy Tiutiunnyk","Ukrainian SSR","Ukraine","Ukrainian SSR"
"Mykhailo Stelmakh","Vinnytsia region","Ukrainians","Ukrainian SSR"
"Nar-Dos","Russian Empire","Armenians","Transcaucasian SFSR"
"Nar-Dos","Tiflis","Armenians","Transcaucasian SFSR"
"Nar-Dos","Tiflis Governorate","Armenians","Transcaucasian SFSR"
"Hovhannes Tumanyan","Russian Empire","Armenians","Russian SFSR"
"Vahan Terian","Russian Empire","Armenians","Russian SFSR"
"Hovhannes Tumanyan","Lori Province","Armenians","Russian SFSR"
"Hovhannes Tumanyan","Tiflis Governorate","Armenians","Russian SFSR"
"Vahan Terian","Tiflis Governorate","Armenians","Russian SFSR"
"Hovhannes Tumanyan","Dsegh","Armenians","Russian SFSR"
"Hovhannes Tumanyan","Armenia","Armenians","Russian SFSR"
"Andrei Platonov","Voronezh","Russians","Russian SFSR"
"Andrei Platonov","Russian Empire","Russians","Russian SFSR"
"Andrei Platonov","Voronezh Governorate","Russians","Russian SFSR"
"Vsevolod Kochetov","Russian Empire","Soviet Union","Russian SFSR"
"Vsevolod Kochetov","Novgorod","Soviet Union","Russian SFSR"
"Hryhorii Epik","Ukraine","Ukrainians","Russian SFSR"
"Mikhail Sholokhov","Don Host Oblast","Soviet Union","Russian SFSR"
"Mikhail Sholokhov","Russian Empire","Soviet Union","Russian SFSR"
"Hryhorii Epik","Russian Empire","Ukrainians","Russian SFSR"
"Mikhail Sholokhov","Vyoshenskaya","Soviet Union","Russian SFSR"
"Suleyman Rahimov","Russian Empire","Azerbaijanis","Azerbaijan SSR"
"Suleyman Rahimov","Zangezursky Uyezd","Azerbaijanis","Azerbaijan SSR"
"Suleyman Rahimov","Əyin","Azerbaijanis","Azerbaijan SSR"
"Suleyman Rahimov","Elisabethpol Governorate","Azerbaijanis","Azerbaijan SSR"
"Henrik Malyan","Georgian SSR","Armenians","Soviet Armenia"
"Henrik Malyan","Telavi","Armenians","Soviet Armenia"
"Khachik Dashtents","Western Armenia","Armenians","Soviet Armenia"
"Khachik Dashtents","Sasun","Armenians","Soviet Armenia"
"Yi Yuksa","Andong","Korean Empire","Republic of China (1912-1949)"
"Yi Yuksa","Korean Empire","Korean Empire","Republic of China (1912-1949)"
"Yi Yuksa","Gyeongsangbuk-do","Korean Empire","Republic of China (1912-1949)"
"Arab Shamilov","Russian Empire","Soviet people","Armenian SSR"
"Arab Shamilov","Kars Oblast","Soviet people","Armenian SSR"
"Hovhannes Shiraz","Russian Empire","Armenians","Armenian SSR"
"Derenik Demirchian","Russian Empire","Armenians","Armenian SSR"
"Aaly Tokombaev","Russian Empire","Kyrgyz people","Kyrgyz SSR"
"Edvarts Virza","Russian empire","Latvian people","Rīga"
"Paruyr Sevak","Zangakatun","Armenians","Armenian SSR"
"Derenik Demirchian","Akhalkalaki","Armenians","Armenian SSR"
"Edvarts Virza","Jelgava Municipality","Latvian people","Rīga"
"Aaly Tokombaev","Kayyngdy, Kemin","Kyrgyz people","Kyrgyz SSR"
"Edvarts Virza","Latvia","Latvian people","Rīga"
"Paruyr Sevak","Soviet Union","Armenians","Armenian SSR"
"Paruyr Sevak","Transcaucasian SFSR","Armenians","Armenian SSR"
"Hovhannes Shiraz","Alexandropol","Armenians","Armenian SSR"
"Aaly Tokombaev","Semirechye Oblast","Kyrgyz people","Kyrgyz SSR"
"Edvarts Virza","Salgale Parish","Latvian people","Rīga"
"Paruyr Sevak","Armenian SSR","Armenians","Armenian SSR"
